Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
21139073685879;Courbe de charge;13/05/2020;18/06/2020;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2020-05-13T00:30:00+02:00;8608
2020-05-13T01:00:00+02:00;5890
2020-05-13T01:30:00+02:00;5062
2020-05-13T02:00:00+02:00;5066
2020-05-13T02:30:00+02:00;4110
2020-05-13T03:00:00+02:00;3422
2020-05-13T03:30:00+02:00;2544
2020-05-13T04:00:00+02:00;3486
2020-05-13T04:30:00+02:00;2942
2020-05-13T05:00:00+02:00;3518
2020-05-13T05:30:00+02:00;5608
2020-05-13T06:00:00+02:00;9714
2020-05-13T06:30:00+02:00;5560
2020-05-13T07:00:00+02:00;4012
2020-05-13T07:30:00+02:00;7334
2020-05-13T08:00:00+02:00;1860
2020-05-13T08:30:00+02:00;1714
2020-05-13T09:00:00+02:00;2096
2020-05-13T09:30:00+02:00;1450
2020-05-13T10:00:00+02:00;1242
2020-05-13T10:30:00+02:00;1554
2020-05-13T11:00:00+02:00;1134
2020-05-13T11:30:00+02:00;1252
2020-05-13T12:00:00+02:00;1180
2020-05-13T12:30:00+02:00;2946
2020-05-13T13:00:00+02:00;3506
2020-05-13T13:30:00+02:00;5814
2020-05-13T14:00:00+02:00;5496
2020-05-13T14:30:00+02:00;4252
2020-05-13T15:00:00+02:00;2648
2020-05-13T15:30:00+02:00;2338
2020-05-13T16:00:00+02:00;2198
2020-05-13T16:30:00+02:00;2144
2020-05-13T17:00:00+02:00;2672
2020-05-13T17:30:00+02:00;2142
2020-05-13T18:00:00+02:00;1462
2020-05-13T18:30:00+02:00;1954
2020-05-13T19:00:00+02:00;1562
2020-05-13T19:30:00+02:00;1608
2020-05-13T20:00:00+02:00;1590
2020-05-13T20:30:00+02:00;1270
2020-05-13T21:00:00+02:00;1344
2020-05-13T21:30:00+02:00;1694
2020-05-13T22:00:00+02:00;1882
2020-05-13T22:30:00+02:00;2168
2020-05-13T23:00:00+02:00;6162
2020-05-13T23:30:00+02:00;6028
2020-05-14T00:00:00+02:00;7498
2020-05-14T00:30:00+02:00;6478
2020-05-14T01:00:00+02:00;1882
2020-05-14T01:30:00+02:00;2146
2020-05-14T02:00:00+02:00;4066
2020-05-14T02:30:00+02:00;4374
2020-05-14T03:00:00+02:00;1786
2020-05-14T03:30:00+02:00;2316
2020-05-14T04:00:00+02:00;1898
2020-05-14T04:30:00+02:00;2408
2020-05-14T05:00:00+02:00;3234
2020-05-14T05:30:00+02:00;2912
2020-05-14T06:00:00+02:00;11114
2020-05-14T06:30:00+02:00;5972
2020-05-14T07:00:00+02:00;6260
2020-05-14T07:30:00+02:00;5392
2020-05-14T08:00:00+02:00;1468
2020-05-14T08:30:00+02:00;1306
